,hq
347,0.4240343179998131
348,0.4227011995125272
349,0.42149829557793667
350,0.4196426831825295
351,0.41786576168151834
352,0.41658160147523127
353,0.4176101852161588
354,0.4176977808063188
355,0.4162144278309837
356,0.4144139336249245
357,0.41315546401740966
358,0.409960156265666
359,0.4063493635633648
360,0.4021232693671107
361,0.3983739464725837
362,0.39571861112449097
363,0.3920542749081805
364,0.38984187073630955
365,0.38790427945556
366,0.38667480393916975
367,0.38580370327393276
368,0.3838102486829606
369,0.38035347124947494
370,0.3769213803491336
371,0.37361489002517856
372,0.3696321853843659
373,0.3656268998198199
374,0.3626091651794414
375,0.36031661497715023
376,0.35735844286254065
377,0.3556507097724578
378,0.35232362561068736
379,0.3506185881257444
380,0.3468166494471341
381,0.3435071792866999
382,0.33996448271384905
383,0.33575347687437845
384,0.331786394828622
385,0.3299629334952592
386,0.33021834687208834
387,0.33070833981087944
388,0.3326034231071019
389,0.3348583869892477
390,0.336564053352103
391,0.33856138475547076
392,0.3416501534858223
393,0.34495579878809046
394,0.34785214937638975
395,0.3501672426881237
396,0.3518026469448175
397,0.3526125309406815
398,0.3529307852840889
399,0.35190730912063944
400,0.3516135295142857
401,0.3493346214065747
402,0.34616160873183455
403,0.34427628027229956
404,0.3409996003445221
405,0.33896800531582255
406,0.3360139088843979
407,0.33377291095126754
408,0.3323921580063335
409,0.33267657448112903
410,0.3326811525814609
411,0.3345690535317794
412,0.33497546034024067
413,0.33484989953664696
414,0.3334362836517248
415,0.33601083451143043
416,0.33320052255791766
417,0.33080162003414193
418,0.329250747407574
419,0.3275739971426913
420,0.32528656457834737
421,0.3223966947281781
422,0.3188902290321827
423,0.31360337798301113
424,0.3080297866906755
425,0.3039160590374174
426,0.29996725076467934
427,0.2972010872253543
428,0.295073303002325
429,0.29329401984820447
430,0.2918446456032792
431,0.29045446852516654
432,0.2909887951966313
433,0.2919919916641468
434,0.2891977175839419
435,0.2902668288821546
436,0.2926054699513421
437,0.2929243183384544
438,0.29495278562273114
439,0.2955738321209669
440,0.29833328244218915
441,0.3007334731305342
442,0.30236606075092265
443,0.301629644099003
444,0.30452428968844797
445,0.3019270124674627
446,0.30069214391047533
447,0.2991205645716192
448,0.30065493100313306
449,0.2989058893444841
450,0.29448792475847896
451,0.2908720934672415
452,0.29003391990465993
453,0.2875584939203821
454,0.28484191945750315
455,0.282694233774272
456,0.28227593598252004
457,0.27959130783790315
458,0.2870990255962571
459,0.29057163577837664
460,0.2981714502531525
461,0.3082794301677617
462,0.32049590056470206
463,0.332261384291497
464,0.3444321157714223
465,0.3578486718132177
466,0.372557086136017
467,0.3883934263783573
468,0.40252606126608903
469,0.4151971471425942
470,0.43145020342816365
471,0.44665551468124265
472,0.46148164271790587
473,0.4730555918779764
474,0.4846740302422953
475,0.4957293793043879
476,0.5024320345915225
477,0.507340727700181
478,0.5122450331916879
479,0.5159746299993093
480,0.5197983766051544
481,0.5228998645553007
482,0.5246772715076784
483,0.5270295911510894
484,0.5249200625317305
485,0.5230761809777842
486,0.5210950838438166
487,0.5185109420761189
488,0.5149765310085265
489,0.5067600900475638
490,0.4992621865825855
491,0.49212942565359313
492,0.4859915045787164
493,0.4788687781776165
